,Location,Dis No,Lat,Long
334,Breckinridge,2002-0310-USA,36.44,-97.73
335, Meade,2002-0310-USA,37.29,-100.34
336, Crittenden,2002-0310-USA,38.78,-84.61
337, Webster,2002-0310-USA,42.05,-71.88
338, Hopkins,2002-0310-USA,44.92,-93.46
339, Ohio,2002-0310-USA,40.25,-83
340, Hardin,2002-0310-USA,45.73,-107.61
345, Calvert,2002-0310-USA,30.98,-96.67
346, Dorchester,2002-0310-USA,50.72,-2.43
350,Union,2002-0310-USA,40.63,-74.27
351, Johnson,2002-0310-USA,36.13,-94.17
352,Pope,2002-0310-USA,35.45,-93.05
353, Moultrie,2002-0310-USA,31.18,-83.79
354, Saline,2002-0310-USA,42.17,-83.78
358, Erie,2002-0310-USA,42.13,-80.09
361, Indiana,2002-0310-USA,40,-86.25
362, Mercer,2002-0310-USA,41.23,-80.24
364, Butler,2002-0310-USA,40.86,-79.9
365, Armstrong,2002-0310-USA,-32.78,-61.6
366, Columbia,2002-0310-USA,34,-81.03
367, Lebanon,2002-0310-USA,36.21,-86.29
369, Rutherford,2002-0310-USA,40.83,-74.11
370, Lake,2002-0310-USA,52.92,9.13
371, Henry,2002-0310-USA,41.11,-89.36
375, Bedford,2002-0310-USA,52.13,-0.47
380, Pontotoc,2002-0310-USA,34.25,-89
385,Tipton,2002-0700-USA,52.53,-2.07
386, Carroll,2002-0700-USA,42.07,-94.87
387, Montgomery,2002-0700-USA,30.67,73.1
388, Sumner,2002-0700-USA,47.2,-122.24
389, Bedford,2002-0700-USA,52.13,-0.47
391, Morgan,2002-0700-USA,41.04,-111.68
392, Cumberland,2002-0700-USA,41.97,-71.43
394, Henry,2002-0700-USA,41.11,-89.36
395, Dale,2002-0700-USA,38.17,-86.99
396, Fayette,2002-0700-USA,33.68,-87.83
397, Walker,2002-0700-USA,43,-85.77
398, Winston,2002-0700-USA,28.03,-82.01
399, Lamar,2002-0700-USA,38.09,-102.62
400, Cullman,2002-0700-USA,34.17,-86.84
401, Tuscaloosa,2002-0700-USA,33.21,-87.57
402, Jefferson,2002-0700-USA,38.86,-77.19
404, Van Wert,2002-0700-USA,40.87,-84.58
405, Paulding,2002-0700-USA,41.14,-84.58
406, Putnam,2002-0700-USA,41.92,-71.91
407, Defiance,2002-0700-USA,41.28,-84.36
408, Athens,2002-0700-USA,37.98,23.72
409, Logan,2002-0700-USA,41.74,-111.83
410, Union,2002-0700-USA,40.7,-74.26
411, Seneca,2002-0700-USA,34.69,-82.95
415, Crittenden,2002-0700-USA,38.78,-84.61
417, Appling,2002-0700-USA,33.55,-82.32
418, Cherokee,2002-0700-USA,42.75,-95.55
419, Pickens,2002-0700-USA,34.88,-82.71
420, Dawson,2002-0700-USA,31.77,-84.45
421, Atkinson,2002-0700-USA,42.84,-71.15
425, Winston,2002-0700-USA,28.03,-82.01
432, North Carolina,2002-0751-USA,35.5,-80
433, South Carolina,2002-0751-USA,34,-81
434, Virginia,2002-0751-USA,37.55,-77.45
435, New York,2002-0751-USA,40.71,-74.01
436, Pennsylvania,2002-0751-USA,40.27,-76.91
437, Kentucky,2002-0751-USA,-30.77,151.45
438, New Jersey,2002-0751-USA,40.17,-74.5
439, Maryland,2002-0751-USA,39,-76.75
440, Missouri,2002-0751-USA,38.25,-92.5
442,Oklahoma,2002-0802-USA,35.55,-97.4
443, Massachusetts,2002-0802-USA,42.37,-71.11
444, New York,2002-0802-USA,40.71,-74.01
445, Arkansas,2002-0802-USA,34.75,-92.5
446, Missouri,2002-0802-USA,38.25,-92.5
447, New Mexico,2002-0802-USA,34.5,-106
448, Louisiana,2002-0802-USA,31,-92
450,Tennessee,2002-0183-USA,35.75,-86.25
451, Virginia,2002-0183-USA,37.55,-77.45
452, Kentucky,2002-0183-USA,-30.77,151.45
453, Ohio,2002-0183-USA,40.25,-83
454, Arkansas,2002-0183-USA,34.75,-92.5
455, Oklahoma,2002-0183-USA,35.49,-97.5
459,Comal,2002-0411-USA,29.82,-98.3
460, Guadalupe,2002-0411-USA,25.68,-100.25
461, Bandera,2002-0411-USA,29.73,-99.07
462, Uvalde,2002-0411-USA,29.21,-99.79
466,Louisiane,2002-0652-USA,31,-92
467, Mississippi,2002-0652-USA,32.75,-89.75
468, Alabama,2002-0652-USA,32.75,-86.75
